,Year,PM 2.5 1 hour,PM 2.5 24 hour bulk,PM 2.5 24 hour
0,1999,10.05,10.05,11.355556
1,2000,9.532353,9.532353,12.748649
2,2001,12.737931,12.737931,8.647368
3,2002,10.081034,10.081034,9.828829
4,2003,7.15,7.15,9.376316
5,2004,8.204545,8.204545,5.416949
6,2005,10.305128,10.305128,6.614035
7,2006,8.764706,8.764706,6.421311
8,2007,9.593966,9.593966,8.778571
9,2008,9.490598,9.490598,10.006667
10,2009,9.82931,9.82931,7.948333
11,2010,9.459633,9.459633,8.107018
12,2011,8.476364,8.476364,9.484746
13,2012,9.275701,9.275701,8.372897
14,2013,6.986377,6.953168,8.810924
15,2014,6.446362,6.413687,8.335043
16,2015,6.450973,6.54584,6.364897
17,2016,6.970044,6.929167,6.390179
18,2017,7.117231,7.082173,6.709402
19,2018,7.366596,7.326346,7.866372
20,2019,6.278612,6.23609,7.463636
