Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/00,35,24,T,0,0
1/2/00,35,29,0.04,0.5,0
1/3/00,29,24,T,T,0
1/4/00,25,11,0.03,0.3,T
1/5/00,30,10,0.17,1.7,T
1/6/00,29,10,0.01,0.3,2
1/7/00,24,0,0,0,2
1/8/00,38,19,0,0,2
1/9/00,36,20,T,0,1
1/10/00,36,29,0.09,0.9,1
1/11/00,32,12,T,T,1
1/12/00,13,9,0.3,8.7,1
1/13/00,19,2,T,T,8
1/14/00,28,-1,0,0,7
1/15/00,35,14,0,0,6
1/16/00,18,4,0,0,5
1/17/00,28,18,0.01,0.1,5
1/18/00,29,8,0,0,5
1/19/00,15,-1,0.24,5.5,5
1/20/00,6,-13,T,T,9
1/21/00,7,-13,T,T,9
1/22/00,22,7,0.01,0.2,9
1/23/00,8,-6,0,0,9
1/24/00,21,-7,T,T,9
1/25/00,20,0,T,T,9
1/26/00,16,-3,0,0,9
1/27/00,17,-2,0,0,8
1/28/00,22,3,0,0,8
1/29/00,26,5,0,0,8
1/30/00,28,7,0,0,7
1/31/00,29,9,0,0,7
2/1/00,28,10,0,0,6
2/2/00,37,10,T,T,7
2/3/00,37,24,0.05,0.8,6
2/4/00,29,10,T,T,7
2/5/00,32,8,0,0,7
2/6/00,35,20,0,0,6
2/7/00,27,12,0,0,6
2/8/00,42,8,0,0,6
2/9/00,38,31,T,T,6
2/10/00,31,11,0.06,1.2,6
2/11/00,15,2,0,0,6
2/12/00,20,7,0.11,2.6,6
2/13/00,25,13,T,T,8
2/14/00,26,14,0,0,8
2/15/00,32,16,0.07,1,8
2/16/00,19,7,0,0,8
2/17/00,25,12,0.12,2.1,9
2/18/00,29,22,0,0,9
2/19/00,29,13,T,T,8
2/20/00,38,7,0,0,8
2/21/00,41,22,0,0,8
2/22/00,50,31,0,0,6
2/23/00,46,38,0.33,0,3
2/24/00,45,42,0.07,0,1
2/25/00,55,42,0.26,0,0
2/26/00,52,38,0.01,0,0
2/27/00,49,31,0,0,0
2/28/00,55,29,0,0,0
2/29/00,61,37,0,0,0
3/1/00,46,30,0,0,0
3/2/00,45,23,0,0,0
3/3/00,55,27,0,0,0
